Pongo,,,,,
Animalia,Chordata,Mammalia,Primates,Hominidae,Pongo
Animalia,Chordata,Mammalia,Primates,Pongidae,Pongo
,,,,,
Arthroleptis,,,,,
Animalia,Chordata,Amphibia,Anura,Arthroleptidae,Arthroleptis
,,,,,
Agoniates,,,,,
,,Actinopterygii,Characiformes,Characidae,Agoniates
Animalia,Chordata,,,Characidae,Agoniates
,,,,,
Mormoops,,,,,
Animalia,Chordata,Mammalia,Chiroptera,Mormoopidae,Mormoops
,,,,,
Diodon,,,,,
Animalia,Chordata,Actinopterygii,Tetraodontiformes,Diodontidae,Diodon
Animalia,Chordata,Actinopteri,Tetraodontiformes,Diodontidae,Diodon
Animalia,Chordata,Osteichthys,Tetraodontiformes,Diodontidae,Diodon
Animalia,Chordata,,,Diodontidae,Diodon
Animalia,Chordata,Osteichthyes,Tetraodontiformes,Diodontidae,Diodon
,,,,,
Anchomomys,,,,,
Animalia,Chordata,Mammalia,Primates,Adapidae,Anchomomys
,,,,,
Dinohippus,,,,,
Animalia,Chordata,Mammalia,Perissodactyla,Equidae,Dinohippus
,,,,,
Parailurus,,,,,
Animalia,Chordata,Mammalia,Carnivora,Procyonidae,Parailurus
,,,,,
Ditrema,,,,,
Animalia,Chordata,Osteichthys,Perciformes,Embiotocidae,Ditrema
Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,Ditrema
,,,,,
Bradypodion,,,,,
Animalia,Chordata,Reptilia,Sauria,Chamaeleonidae,Bradypodion
Animalia,Chordata,Reptilia,Squamata,Chamaeleonidae,Bradypodion
Animalia,Chordata,,,Chamaeleontidae,Bradypodion
,,,,,
Hyperprosopon,,,,,
,,Actinopteri,Perciformes,Embiotocidae,Hyperprosopon
Animalia,Chordata,Osteichthys,Perciformes,Embiotocidae,Hyperprosopon
Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,Hyperprosopon
,,,,,
Notropis ,,,,,
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Notropis
Animalia,Chordata,Osteichthys,Cypriniformes,Cyprinidae,Notropis
,,Actinopteri,Cypriniformes,Cyprinidae,Notropis
,,Actinopterygii,,Cyprinidae,Notropis
,,,,,
Pipa,,,,,
Animalia,Chordata,Amphibia,Anura,Pipidae,Pipa
,,,,,
Helogenes,,,,,
Animalia,Chordata,Actinopteri,Siluriformes,Cetopsidae,Helogenes
Animalia,,,,Helogeneidae,Helogenes
Animalia,Chordata,Actinopterygii,Siluriformes,Cetopsidae,Helogenes
Animalia,Chordata,,,Cetopsidae,Helogenes
,,Actinopterygii,Siluriformes,Helogeneidae,Helogenes
Animalia,Chordata,,,Helogeneidae,Helogenes
,,,,,
Lestoros,,,,,
Animalia,Chordata,Mammalia,Paucituberculata,Caenolestidae,Lestoros
Animalia,Chordata,Mammalia,Marsupialia,Caenolestidae,Lestoros
,,,,,
Saurodactylus,,,,,
Animalia,Chordata,Reptilia,Sauria,Gekkonidae,Saurodactylus
Animalia,Chordata,Reptilia,Squamata,Gekkonidae,Saurodactylus
Animalia,Chordata,Reptilia,Squamata,Sphaerodactylidae,Saurodactylus
Animalia,Chordata,Reptilia,Sauria,Sphaerodactylidae,Saurodactylus
,,,,,
Exoglossum,,,,,
Animalia,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Exoglossum
Animalia,Chordata,Osteichthys,Cypriniformes,Cyprinidae,Exoglossum
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Exoglossum
Animalia,Chordata,,,Cyprinidae,Exoglossum
,,,,,
Ecsenius,,,,,
Animalia,Chordata,Actinopterygii,Perciformes,Blenniidae,Ecsenius
Animalia,Chordata,,,Blenniidae,Ecsenius
,,,,,
Gasteruption,,,,,
,,,,,
Branisella,,,,,
Animalia,Chordata,Mammalia,Primates,Cebidae,Branisella
Animalia,Chordata,Mammalia,Primates,Pliopithecidae,Branisella
Animalia,,Mammalia,Primates,,Branisella
Animalia,Chordata,Mammalia,Primates,,Branisella
,,,,,
Xenorhina,,,,,
Animalia,Chordata,Amphibia,Anura,Microhylidae,Xenorhina
,,,,,
Listriodon,,,,,
Animalia,Chordata,Mammalia,Artiodactyla,Suidae,Listriodon
,,,,,
Palaeictops,,,,,
Animalia,Chordata,Mammalia,Leptictida,Leptictidae,Palaeictops
Animalia,Chordata,Mammalia,,Leptictidae,Palaeictops
,,,,,
Mazzonicebus,,,,,
Animalia,Chordata,Mammalia,Primates,Homunculidae,Mazzonicebus
,,,,,
Leptophis,,,,,
Animalia,Chordata,Reptilia,Squamata,Colubridae,Leptophis
Animalia,Chordata,Reptilia,Squamata,Colubrinae,Leptophis
Animalia,Chordata,Reptilia,Serpentes,Colubridae,Leptophis
Animalia,,Reptilia,Serpentes,Colubridae,Leptophis
Animalia,Chordata,Reptilia,Squamata-snakes,Colubridae,Leptophis
,,,,,
Hoplobatrachus,,,,,
Animalia,Chordata,Amphibia,Anura,Ranidae,Hoplobatrachus
Animalia,Chordata,Amphibia,Anura,Dicroglossidae,Hoplobatrachus
,,,,,
Phyllostomus,,,,,
Animalia,Chordata,Mammalia,Chiroptera,Phyllostomidae,Phyllostomus
Animalia,Chordata,Mammalia,Chiroptera,Mormoopidae,Phyllostomus
,,,,,
Oligopithecidae,,,,,
,,,,,
Megaerops,,,,,
Animalia,Chordata,Mammalia,Chiroptera,Pteropodidae,Megaerops
,,,,,
Neoclinus,,,,,
Animalia,Chordata,Actinopterygii,Perciformes,Chaenopsidae,Neoclinus
,,Actinopteri,Perciformes,Chaenopsidae,Neoclinus
Animalia,Chordata,Actinopteri,Perciformes,Labrisomidae,Neoclinus
Animalia,Chordata,Actinopterygii,Perciformes,Labrisomidae,Neoclinus
,,,,Clinidae,Neoclinus
,,,,,
Sceloporus,,,,,
Animalia,Chordata,Reptilia,Squamata,Phrynosomatidae,Sceloporus
Animalia,Chordata,Reptilia,Sauria,Phrynosomatidae,Sceloporus
Animalia,Chordata,Reptilia,Squamata,Iguanidae,Sceloporus
,,,,,
Hemiaster,,,,,
,,,,,
Phoebastria ,,,,,
Animalia,Chordata,Aves,Procellariiformes,Diomedeidae,Phoebastria
,,,,,
Tupaia,,,,,
Animalia,Chordata,Mammalia,Scandentia,Tupaiidae,Tupaia
Animalia,Chordata,Mammalia,Insectivora,Tupaiidae,Tupaia
,,,,,
Radulinopsis,,,,,
,,Actinopteri,Scorpaeniformes,Cottidae,Radulinopsis
,,,,,
Serpenticobitis,,,,,
,,Actinopterygii,Cypriniformes,Serpenticobitidae,Serpenticobitis
,,,,,
Parocnus,,,,,
Animalia,Chordata,Mammalia,Pilosa,Megalonychidae,Parocnus
,,,,,
Pygopristis,,,,,
Animalia,Chordata,Actinopteri,Characiformes,Serrasalmidae,Pygopristis
Animalia,Chordata,Actinopterygii,Characiformes,Characidae,Pygopristis
Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Pygopristis
Animalia,Chordata,,,Characidae,Pygopristis
,,,,,
Elwynella,,,,,
Animalia,Chordata,Mammalia,Primates,Paromomyidae,Elwynella
Animalia,Chordata,Mammalia,Dermoptera,Paromomyidae,Elwynella
,,,,,
Cercopithecoides,,,,,
Animalia,Chordata,Mammalia,Primates,Cercopithecidae,Cercopithecoides
,,,,,
Limnopithecus,,,,,
Animalia,Chordata,Mammalia,Primates,Simiidae,Limnopithecus
Animalia,Chordata,Mammalia,Primates,Hominidae,Limnopithecus
Animalia,Chordata,Mammalia,,Simiidae,Limnopithecus
,,,,,
Homo,,,,,
Animalia,Chordata,Mammalia,Primates,Hominidae,Homo
,,,,,
Aphredoderus,,,,,
,,,,,
Mammut,,,,,
Animalia,Chordata,Mammalia,Proboscidea,Mammutidae,Mammut
,,,,,
Epilobium,,,,,
,,,,,
Craugastor,,,,,
Animalia,Chordata,Amphibia,Anura,Craugastoridae,Craugastor
Animalia,Chordata,Amphibia,Anura,Leptodactylidae,Craugastor
,,,,,
Gloydius,,,,,
Animalia,Chordata,Reptilia,Squamata,Viperidae,Gloydius
Animalia,Chordata,Reptilia,Serpentes,Viperidae,Gloydius
,,,,,
Spelaeophryne ,,,,,
Animalia,Chordata,Amphibia,Anura,Microhylidae,Spelaeophryne
Animalia,Chordata,Amphibia,Anura,Brevicipitidae,Spelaeophryne
,,,,,
Satan,,,,,
Animalia,Chordata,Actinopterygii,Siluriformes,Ictaluridae,Satan
,,,,,
cf. Colpocherus,,,,,
,,,,,
Agkistrodon,,,,,
Animalia,Chordata,Reptilia,Squamata,Viperidae,Agkistrodon
Animalia,Chordata,Reptilia,Serpentes,Viperidae,Agkistrodon
,,,,,
"Crossodactylus	",,,,,
,,,,,
Lipariscus,,,,,
,,Actinopteri,Scorpaeniformes,Liparidae,Lipariscus
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cyclopteridae,Lipariscus
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Liparidae,Lipariscus
Animalia,Chordata,,,Liparidae,Lipariscus
,,,,,
Sardinella ,,,,,
Animalia,Chordata,Actinopteri,Clupeiformes,Clupeidae,Sardinella
Animalia,Chordata,Osteichthys,Clupeiformes,Clupeidae,Sardinella
Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Sardinella
,,,,Clupeidaeclupeinae,Sardinella
,,,,,
Sagittarius,,,,,
Animalia,Chordata,Aves,Falconiformes,Sagittariidae,Sagittarius
Animalia,Chordata,Aves,Accipitriformes,Sagittariidae,Sagittarius
Animalia,Chordata,Aves,,,Sagittarius
Animalia,Chordata,Aves,Falconiformes,Accipitridae,Sagittarius
,,,,,
Aulonocara ,,,,,
,,,,,
Crypholestes,,,,,
Animalia,Chordata,Mammalia,Erinaceomorpha,Amphilemuridae,Crypholestes
Animalia,,Mammalia,Lipotyphla,Dormaaliidae,Crypholestes
,,,,,
Cardioglossa,,,,,
Animalia,Chordata,Amphibia,Anura,Arthroleptidae,Cardioglossa
,,,,,
Paraxerus,,,,,
Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Paraxerus
,,,,,
Roeboides,,,,,
Animalia,Chordata,Actinopteri,Characiformes,Characidae,Roeboides
Animalia,Chordata,Actinopterygii,Characiformes,Characidae,Roeboides
Animalia,Chordata,Osteichthys,Characiformes,Characidae,Roeboides
Animalia,Chordata,,,Characidae,Roeboides
,,,,,
Palaeothentes,,,,,
Animalia,Chordata,Mammalia,Paucituberculata,Caenolestidae,Palaeothentes
Animalia,Chordata,Mammalia,Paucituberculata,Palaeothentidae,Palaeothentes
,,Mammalia,Marsupialia,Palaeothentidae,Palaeothentes
,,,,,
Bathypterois,,,,,
Animalia,,,,Bathypteroidae,Bathypterois
,,Actinopteri,Aulopiformes,Ipnopidae,Bathypterois
Animalia,Chordata,Actinopterygii,Aulopiformes,Chlorophthalmidae,Bathypterois
Animalia,Chordata,Actinopterygii,Aulopiformes,Ipnopidae,Bathypterois
,,,,,
Scotophilus,,,,,
Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Scotophilus
,,,,,
Megaderma,,,,,
Animalia,Chordata,Mammalia,Chiroptera,Megadermatidae,Megaderma
,,,,,
Aselliscus,,,,,
Animalia,Chordata,Mammalia,Chiroptera,Rhinolophidae,Aselliscus
Animalia,Chordata,Mammalia,Chiroptera,Hipposideridae,Aselliscus
,,,,,
Diphylla,,,,,
Animalia,Chordata,Mammalia,Chiroptera,Phyllostomidae,Diphylla
Animalia,Chordata,Mammalia,Chiroptera,Phyllostomatidae,Diphylla
,,,,,
Gonostoma,,,,,
Animalia,Chordata,Osteichthys,Stomiiformes,Gonostomatidae,Gonostoma
,,,,,
Leptonycteris,,,,,
Animalia,Chordata,Mammalia,Chiroptera,Phyllostomidae,Leptonycteris
,,,,,
Risor,,,,,
Animalia,Chordata,Actinopteri,Perciformes,Gobiidae,Risor
Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,Risor
Animalia,Chordata,,,Gobiidae,Risor
Animalia,Chordata,Osteichthys,Perciformes,Gobiidae,Risor
,,,,,
Chrotopterus,,,,,
Animalia,Chordata,Mammalia,Chiroptera,Phyllostomidae,Chrotopterus
Animalia,Chordata,Mammalia,Chiroptera,Phyllostomatidae,Chrotopterus
,,,,,
Hemimyzon,,,,,
,,Actinopterygii,Cypriniformes,Balitoridae,Hemimyzon
Animalia,Chordata,Actinopteri,Tetraodontiformes,Balitoridae:balitorinae,Hemimyzon
Animalia,Chordata,,,Homalopteridae,Hemimyzon
,,,,,
Tantilla,,,,,
Animalia,Chordata,Reptilia,Squamata,Colubridae,Tantilla
,,Reptilia,Serpentes,Colubridae,Tantilla
Animalia,Chordata,Reptilia,Squamata,Colubrinae,Tantilla
,,,,,
Rhinoliparis,,,,,
,,Actinopteri,Scorpaeniformes,Liparidae,Rhinoliparis
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cyclopteridae,Rhinoliparis
Animalia,Chordata,Osteichthys,Scorpaeniformes,Cyclopteridae,Rhinoliparis
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Liparidae,Rhinoliparis
,,,,,
Ectypodus,,,,,
Animalia,Chordata,Mammalia,Multituberculata,Neoplagiaulacidae,Ectypodus
,,,,,
Anthracobunidae,,,,,
,,,,,
Didelphodus,,,,,
Animalia,Chordata,Mammalia,Cimolesta,Palaeoryctidae,Didelphodus
Animalia,Chordata,Mammalia,Lipotyphla,Palaeoryctidae,Didelphodus
Animalia,Chordata,Mammalia,Cimolesta,Cimolestidae,Didelphodus
Animalia,Chordata,Mammalia,Insectivora,Palaeoryctidae,Didelphodus
,,,,,
Masrasector,,,,,
Animalia,Chordata,Mammalia,Creodonta,Hyaenodontidae,Masrasector
,,,,,
Theropithecus,,,,,
Animalia,Chordata,Mammalia,Primates,Cercopithecidae,Theropithecus
Animalia,Chordata,Mammalia,Primates,Cercopithecinae,Theropithecus
,,,,,
Nyctinomops,,,,,
Animalia,Chordata,Mammalia,Chiroptera,Molossidae,Nyctinomops
,,,,,
Prognatholiparis,,,,,
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Liparidae,Prognatholiparis
,,,,,
Purgatorius,,,,,
,,Mammalia,Primates,Purgatoriidae,Purgatorius
,,,,,
Axoclinus,,,,,
Animalia,Chordata,Actinopterygii,Perciformes,Tripterygiidae,Axoclinus
,,,,,
Paleopropithecus,,,,,
,,,,,
Casuarius,,,,,
Animalia,Chordata,Aves,Struthioniformes,Casuariidae,Casuarius
Animalia,Chordata,Aves,Casuariiformes,Casuariidae,Casuarius
Animalia,Chordata,Aves,Paleognathae,Casuariidae,Casuarius
,,,,,
Metriaclima,,,,,
,,,,,
Chalceus,,,,,
Animalia,Chordata,Actinopteri,Characiformes,Characidae,Chalceus
,,Actinopteri,Characiformes,Chalceidae,Chalceus
Animalia,Chordata,Osteichthys,Characiformes,Characidae,Chalceus
Animalia,Chordata,Actinopterygii,Characiformes,Characidae,Chalceus
Animalia,Chordata,,,Characidae,Chalceus
Animalia,Chordata,Actinopterygii,Characiformes,Alestidae,Chalceus
Animalia,Chordata,Actinopterygii,Characiformes,Chalceidae,Chalceus
,,,,,
Allenopithecus,,,,,
Animalia,Chordata,Mammalia,Primates,Cercopithecidae,Allenopithecus
Animalia,Chordata,Mammalia,Primates,Cercopithecinae,Allenopithecus
,,,,,
Chitonotus,,,,,
Animalia,Chordata,Actinopteri,Scorpaeniformes,Cottidae,Chitonotus
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Chitonotus
Animalia,Chordata,Osteichthys,Scorpaeniformes,Cottidae,Chitonotus
Animalia,Chordata,,,Cottidae,Chitonotus
,,,,,
Anguilla,,,,,
Animalia,Chordata,Actinopteri,Anguilliformes,Anguillidae,Anguilla
Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla
Animalia,,,,Anguillidae,Anguilla
,,,,,
Krusatodon,,,,,
Animalia,Chordata,Mammalia,Docodonta,Docodontidae,Krusatodon
,,,,,
Prosantorhinus,,,,,
Animalia,Chordata,Mammalia,Perissodactyla,Rhinocerotidae,Prosantorhinus
,,,,,
Hemiphractus,,,,,
Animalia,Chordata,Amphibia,Anura,Hemiphractidae,Hemiphractus
Animalia,Chordata,Amphibia,Anura,Hylidae,Hemiphractus
,,,,,
Tiktaalik,,,,,
Animalia,Chordata,Sarcopterygii,Elpistostegalia,Elpistostegidae,Tiktaalik
Animalia,Chordata,Osteichthyes,Crossopterygii,Panderichthyidae?,Tiktaalik
Animalia,Chordata,Sarcopterygii,,,Tiktaalik
,,,,,
Rhinophrynus,,,,,
Animalia,Chordata,Amphibia,Anura,Rhinophrynidae,Rhinophrynus
,,,,,
Asellia,,,,,
Animalia,Chordata,Mammalia,Chiroptera,Rhinolophidae,Asellia
Animalia,Chordata,Mammalia,Chiroptera,Hipposideridae,Asellia
,,,,,
Pelagocephalus,,,,,
Animalia,Chordata,Actinopterygii,Tetraodontiformes,Tetraodontidae,Pelagocephalus
,,,,,
Capensibufo,,,,,
,,,,,
Miocochilius,,,,,
Animalia,Chordata,Mammalia,Notoungulata,Interatheriidae,Miocochilius
,,,,,
Microbatrachella,,,,,
Animalia,Chordata,Amphibia,Anura,Ranidae,Microbatrachella
Animalia,Chordata,Amphibia,Anura,Pyxicephalidae,Microbatrachella
,,Amphibia,Anura,Petropedetidae,Microbatrachella
,,,,,
Vulpes,,,,,
Animalia,Chordata,Mammalia,Carnivora,Canidae,Vulpes
,,,,,
Rhabdoblennius,,,,,
,,Actinopteri,Perciformes,Blenniidae,Rhabdoblennius
Animalia,Chordata,Actinopterygii,Perciformes,Blenniidae,Rhabdoblennius
,,,,,
Buergeria,,,,,
Animalia,Chordata,Amphibia,Anura,Rhacophoridae,Buergeria
,,,,,
Phalacrocorax,,,,,
Animalia,Chordata,Aves,Pelecaniformes,Phalacrocoracidae,Phalacrocorax
Animalia,Chordata,Aves,Pelecaniformes,Phalacrocoracidae;phalacrocoracinae,Phalacrocorax
Animalia,Chordata,Aves,Suliformes,Phalacrocoracidae,Phalacrocorax
Animalia,,Aves,Suliformes,Phalacrocoracidae,Phalacrocorax
,,Aves,Ciconiiformes,Phalacrocoracidae,Phalacrocorax
,,,,,
Oxylebius,,,,,
,,Actinopteri,Scorpaeniformes,Hexagrammidae,Oxylebius
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Hexagrammidae,Oxylebius
Animalia,Chordata,Osteichthys,Scorpaeniformes,Hexagrammidae,Oxylebius
Animalia,Chordata,,,Hexagrammidae,Oxylebius
,,,,Zaniolepididae,Oxylebius
,,,,,
Heloderma,,,,,
Animalia,Chordata,Reptilia,Squamata,Helodermatidae,Heloderma
