Pongo
Animalia,Chordata,Mammalia,Primates,Pongidae,Pongo,43
Animalia,Chordata,Mammalia,Primates,Hominidae,Pongo,357
""
Arthroleptis
Animalia,Chordata,Amphibia,Anura,Arthroleptidae,Arthroleptis,53
""
Agoniates
Animalia,Chordata,Actinopterygii,Characiformes,Characidae,Agoniates,5
""
Mormoops
Animalia,Chordata,Mammalia,Chiroptera,Mormoopidae,Mormoops,17
""
Diodon
Animalia,Chordata,Actinopterygii,Tetraodontiformes,Diodontidae,Diodon,2
Animalia,Chordata,Actinopteri,Tetraodontiformes,Diodontidae,Diodon,1
""
Anchomomys
Animalia,Chordata,Mammalia,Primates,Adapidae,Anchomomys,2
""
Dinohippus
Animalia,Chordata,Mammalia,Perissodactyla,Equidae,Dinohippus,129
""
Parailurus
Animalia,Chordata,Mammalia,Carnivora,Procyonidae,Parailurus,9
""
Ditrema
Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,Ditrema,20
Animalia,Chordata,Osteichthys,Perciformes,Embiotocidae,Ditrema,6
""
Bradypodion
Animalia,Chordata,Reptilia,Squamata,Chamaeleonidae,Bradypodion,132
Animalia,Chordata,Reptilia,Sauria,Chamaeleonidae,Bradypodion,1
Animalia,Chordata,,,Chamaeleontidae,Bradypodion,3
""
Hyperprosopon
Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,Hyperprosopon,319
Animalia,Chordata,Osteichthys,Perciformes,Embiotocidae,Hyperprosopon,25
,,Actinopteri,Perciformes,Embiotocidae,Hyperprosopon,26
""
Notropis 
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Notropis,56
Animalia,Chordata,Osteichthys,Cypriniformes,Cyprinidae,Notropis,5
Animalia,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Notropis,16
""
Pipa
Animalia,Chordata,Amphibia,Anura,Pipidae,Pipa,15
""
Helogenes
Animalia,Chordata,Actinopterygii,Siluriformes,Cetopsidae,Helogenes,10
Animalia,Chordata,,,Helogeneidae,Helogenes,11
Animalia,Chordata,Actinopteri,Siluriformes,Cetopsidae,Helogenes,4
""
Lestoros
Animalia,Chordata,Mammalia,Marsupialia,Caenolestidae,Lestoros,2
Animalia,Chordata,Mammalia,Paucituberculata,Caenolestidae,Lestoros,282
""
Saurodactylus
Animalia,Chordata,Reptilia,Squamata,Sphaerodactylidae,Saurodactylus,66
Animalia,Chordata,Reptilia,Squamata,Gekkonidae,Saurodactylus,3
Animalia,Chordata,Reptilia,Sauria,Sphaerodactylidae,Saurodactylus,8
Animalia,Chordata,Reptilia,Sauria,Gekkonidae,Saurodactylus,14
""
Exoglossum
Animalia,Chordata,Osteichthys,Cypriniformes,Cyprinidae,Exoglossum,20
,,Actinopteri,Cypriniformes,Cyprinidae,Exoglossum,1
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Exoglossum,41
""
Ecsenius
Animalia,Chordata,Actinopterygii,Perciformes,Blenniidae,Ecsenius,43
""
Gasteruption
""
Branisella
Animalia,Chordata,Mammalia,Primates,Cebidae,Branisella,2
""
Xenorhina
Animalia,Chordata,Amphibia,Anura,Microhylidae,Xenorhina,30
""
Listriodon
Animalia,Chordata,Mammalia,Artiodactyla,Suidae,Listriodon,3
""
Palaeictops
""
Mazzonicebus
Animalia,Chordata,Mammalia,Primates,Homunculidae,Mazzonicebus,1
""
Leptophis
,,Reptilia,Serpentes,Colubridae,Leptophis,13
Animalia,Chordata,Reptilia,Squamata,Colubrinae,Leptophis,162
Animalia,Chordata,Reptilia,Squamata,Colubridae,Leptophis,268
Animalia,Chordata,Reptilia,Squamata-snakes,Colubridae,Leptophis,8
""
Hoplobatrachus
Animalia,Chordata,Amphibia,Anura,Dicroglossidae,Hoplobatrachus,198
Animalia,Chordata,Amphibia,Anura,Ranidae,Hoplobatrachus,27
""
Phyllostomus
Animalia,Chordata,Mammalia,Chiroptera,Phyllostomidae,Phyllostomus,1199
Animalia,Chordata,Mammalia,Chiroptera,Mormoopidae,Phyllostomus,1
""
Oligopithecidae
""
Megaerops
Animalia,Chordata,Mammalia,Chiroptera,Pteropodidae,Megaerops,186
""
Neoclinus
Animalia,Chordata,Actinopterygii,Perciformes,Chaenopsidae,Neoclinus,8
Animalia,Chordata,Actinopteri,Perciformes,Labrisomidae,Neoclinus,1
,,,,Clinidae,Neoclinus,1
,,Actinopteri,Perciformes,Chaenopsidae,Neoclinus,38
Animalia,Chordata,Actinopterygii,Perciformes,Labrisomidae,Neoclinus,9
""
Sceloporus
Animalia,Chordata,Reptilia,Sauria,Phrynosomatidae,Sceloporus,77
Animalia,Chordata,Reptilia,Squamata,Iguanidae,Sceloporus,2
Animalia,Chordata,Reptilia,Squamata,Phrynosomatidae,Sceloporus,321
""
Pachytriton
Animalia,Chordata,Amphibia,Caudata,Salamandridae,Pachytriton,37
""
Hemiaster
""
Phoebastria 
Animalia,Chordata,Aves,Procellariiformes,Diomedeidae,Phoebastria,400
""
Tupaia
Animalia,Chordata,Mammalia,Scandentia,Tupaiidae,Tupaia,1998
Animalia,Chordata,Mammalia,Insectivora,Tupaiidae,Tupaia,117
""
Atelopus
Animalia,Chordata,Amphibia,Anura,Bufonidae,Atelopus,435
""
Serpenticobitis
,,Actinopterygii,Cypriniformes,Serpenticobitidae,Serpenticobitis,1
""
Parocnus
Animalia,Chordata,Mammalia,Pilosa,Megalonychidae,Parocnus,72
""
Pygopristis
Animalia,Chordata,Actinopteri,Characiformes,Serrasalmidae,Pygopristis,1
Animalia,Chordata,Actinopterygii,Characiformes,Characidae,Pygopristis,4
Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Pygopristis,8
""
Elwynella
Animalia,Chordata,Mammalia,Primates,Paromomyidae,Elwynella,2
Animalia,Chordata,Mammalia,Dermoptera,Paromomyidae,Elwynella,1
""
Cercopithecoides
Animalia,Chordata,Mammalia,Primates,Cercopithecidae,Cercopithecoides,19
""
Homo
Animalia,Chordata,Mammalia,Primates,Hominidae,Homo,160
""
Aphredoderus
""
Mammut
Animalia,Chordata,Mammalia,Proboscidea,Mammutidae,Mammut,400
""
Epilobium
""
Craugastor
Animalia,Chordata,Amphibia,Anura,Craugastoridae,Craugastor,59
